marca,produto,preco_velho_reais,preco_velho_centavos,preco_atual_reais,preco_atual_centavos,nota_avaliacao,num_avaliacoes,_fonte,_site,_data_coleta,_pagina,_ordem
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,,,144,90,4.5,(432),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,11
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,,,134,90,4.6,(66),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,12
NIKE,Tênis Nike Revolution 6 Flyease Next Nature Masculino,,,329,99,4.1,(8),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,13
OLYMPIKUS,Olympikus Eros Masculino Adultos,165,,156,75,4.8,(1671),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,14
GENERIC,Tênis De Corrida Multicoloridos Onitsuka Tiger Mexico 66,,,266,40,4.9,(16),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,15
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,99,221,06,4.6,(986),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,16
OLYMPIKUS,Olympikus CORRIDA Reverso 2 Masculino Adultos,379,99,330,59,4.8,(93),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,17
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,67,99,4.5,(10906),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,18
NEW BALANCE,New Balance 997s Masculino Adultos,196,90,177,30,5.0,(1),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,19
,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,,,53,,4.6,(713),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,20
NIKE,Tênis Nike Revolution 7 Masculino,,,369,99,4.7,(981),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,21
,Tênis Masculino Sports Academia Advanced Solado Extraleve,219,90,147,33,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,22
,Tênis Masculino Academia Rixxon Leve Promoção Barato ,87,90,62,40,4.5,(617),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,23
OLYMPIKUS,Olympikus Neblina Masculino Adultos,359,90,266,32,4.7,(72),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,24
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,,,78,90,4.1,(7896),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,25
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,151,21,4.6,(2132),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,26
UNDER ARMOUR,Kit 1 Tênis De Corrida Masculino Under Armour Charged Quicke,,,399,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,27
OLYMPIKUS,Tênis Olympikus Volcan 2 Original Dia A Dia Confortável,224,99,179,99,4.6,(10),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,28
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,70,11,4.5,(5513),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,29
,Kit Tênis Ortopédico Masculino Asc Original Calce Fácil,230,,218,50,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,30
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,139,99,4.7,(2968),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,31
T-SHOES,Tênis Extremecross Speed Trekking Trilha Ciclismo Corrida,174,49,155,29,4.5,(307),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,32
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,293,06,216,87,4.8,(7856),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,33
UNDER ARMOUR,Tênis De Corrida Masculino Under Armour *oferta*,399,99,269,99,4.8,(86),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,34
,Tênis Masculino Confortável Cadarço Academia Corrida,,,94,90,4.3,(6),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,35
MIZUNO,Mizuno Wave Mirai 5 Masculino Adultos,,,309,85,4.6,(694),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,36
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,99,99,71,99,4.5,(1789),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,37
SKECHERS,Skechers GORun Fast Masculino Adultos,333,22,299,70,4.0,(4),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,38
,Tenis Masculino Olimp Kit 02 Pares Academia Promoção Oferta,,,144,90,4.4,(3648),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,39
,Tênis Bolsonaro Masculino Feminino Patriota Style Super Leve,,,199,90,4.7,(209),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,40
,Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort,,,52,90,4.6,(916),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,41
ASCENSION,Tênis Lege 21 Masculino Esportivo Leve Confortável Oferta,,,124,90,4.0,(5),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,42
,Tênis Masculino Advanced Corrida Academia Profissional Leve,,,78,90,4.7,(23),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,43
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,,,145,,4.8,(1592),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,44
,Tênis Bolsonaro : Liberdade Style Super Confortável ,,,169,90,4.8,(165),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,45
UNDER ARMOUR,Kit 1 Tênis De Corrida Masculino Under Armour Charged Skylin,,,229,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,46
FILA,Tênis Fila Street Fit 2 Confortável - Adulto - Original,,,344,50,5.0,(1),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,47
UNDER ARMOUR,Tênis De Corrida Under Armour Charged Skyline 4,,,299,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,48
,Tenis Feminino Casual Nyc Shoes Masculino Moda Adulto,109,90,76,93,4.5,(4557),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,49
UNDER ARMOUR,Tênis De Corrida Under Armour Charged Slight 3,,,359,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,50
,Tenis Feminino Masculino Olimp Academia Leve Confortável,,,69,99,4.4,(1211),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,51
MIZUNO,Tênis De Corrida Masculino Mizuno Atlantis,,,349,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,52
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,246,94,178,60,4.8,(1996),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,53
,Tênis Masculino Confortável Versátil Para Caminhada Fitness,,,69,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,54
DM DAMANDO,Kit Tenis Confortavel Masculino P/academia Corrida + Relógio,,,78,90,4.6,(343),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,1
ASICS,Asics Gel-Shogun 5 Masculino Adultos,,,359,90,4.8,(162),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,2
,Tenis Feminino Masculino Olimp Academia Leve Confortável,,,69,99,4.4,(1211),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,3
,Mizuno Wave Creation 20 Masculino Adultos,,,,,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,4
MIZUNO,Mizuno Wave Mirai 6 Masculino Adultos,,,444,,4.8,(8),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,5
OLYMPIKUS,Tênis Masculino Taurus Olympikus *oferta*,279,99,189,99,4.8,(1630),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,6
NB,Tênis Masculino N&b 997s Reverl Absordb Sport Lançamento,,,204,99,4.4,(44),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,7
ASCENSION,Tenis Masculino Leve Confotavel Dia A Dia Para Treino,,,109,90,4.5,(200),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,8
OLYMPIKUS,Tênis Esportivo Masculino E Feminino Proof 3 Olympikus,199,99,176,99,4.8,(274),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,9
,Sapatilha Híbrida Aquática Pesca Neoprene Trilha Bike Praia,,,53,,4.6,(270),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,10
BAD FISH,Tênis Track Sapatilha Bad Fish Adventure Pesca Rosa Preto ,,,204,99,4.8,(91),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,11
RAYCONN,Tenis 4 Molas Masculino Corrida Caminhada Running Original,186,95,164,51,4.3,(77),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,12
DUBBELE,Tenis Masculino Academia Corrida Wave Force Promoção Barato,,,75,99,4.2,(510),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,13
,Tenis Masculino Feminino Academia Leve Macio Confortável,,,68,99,4.5,(1987),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,14
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,78,90,74,95,4.2,(147),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,15
ADIDAS,Tênis Masculino Duramo Sl adidas,499,99,356,35,5.0,(8),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,16
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,74,95,4.4,(1256),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,17
OLYMPIKUS,Tenis Masculino Olympikus Delta 122 Esportivo,,,150,,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,18
VILI,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,,,109,49,4.5,(2524),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,19
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,78,90,71,10,4.5,(601),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,20
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,99,75,04,4.2,(130),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,21
,Tênis Meia Masculino E Feminino Unicc Lançamento,,,81,90,4.7,(103),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,22
,"Tenis Esportivo Feminino Masculino,resistente, Confortavel!",,,69,90,4.5,(225),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,23
PLAZA,Kit 4 Pares Tênis Masculino Casual Academia Caminhada Atacad,,,289,90,4.3,(442),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,24
,Tenis Para Caminhada Academia Corrida Treino - Leve E Macio,,,67,90,4.5,(435),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,25
OLYMPIKUS,Olympikus Poseidon Masculino Adultos,167,90,159,50,4.7,(724),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,26
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,,,56,90,4.7,(343),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,27
,Kit 2 Pares Tênis Masculino Academia Lançamento  Fxb 515,,,159,90,4.4,(293),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,28
OLP,Tênis Masculino Feminino Varias Cores Do 34 Ao 43 Promoção,,,89,99,4.2,(58),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,29
,Tênis Bolha Plus 1 Tn Corrida Muito Leve Promoção Envio Ja,,,118,86,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,30
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,,,144,90,4.5,(432),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,31
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,,,134,90,4.6,(66),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,32
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,,,209,90,4.7,(17),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,33
FILA,Fila Running Progress Masculino Adultos,366,59,329,93,4.7,(207),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,34
POLO JOY,Polo Joy 900 Masculino Adultos,,,78,99,4.8,(53),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,35
OLYMPIKUS,Tênis Olympikus Voa 2 Corrida Marinho - Masculino,,,249,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,36
PLAZA,Kit 2 Pares De Tênis Masculino Academia Caminhada Casual Neo,,,139,90,4.2,(606),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,37
,Kit Tênis De Corrida Masculino Academia Leve + Relógio,,,99,90,4.4,(317),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,38
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,229,99,170,19,4.7,(3433),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,39
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,78,90,71,01,4.2,(2624),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,40
BF SHOES,Tênis Esportivo Masculino Para Malhar Confortável Lançamento,78,90,74,95,4.5,(1987),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,41
TAYGRA,Taygra Original Para Dança Confortável  Preto - Envio 24hs ,,,179,90,4.8,(140),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,42
WM,Tenis Revelation Masculino Feminino Promoção Pronta Entrega,,,109,99,4.5,(151),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,43
ASCENSION,Tênis Masculino Para Academia Caminhada Corrida Cross ,,,109,,4.6,(7),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,44
OLYMPIKUS,Olympikus Marte Masculino Adultos,,,157,,4.8,(321),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,45
POLO JOY,Combo 2 Pares Tenis Masculino Polo Joy Casual Slip On Iate,,,169,90,4.6,(395),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,46
NEW BALANCE,New Balance 500 V2 Masculino Adultos,,,379,99,4.5,(55),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,47
,Tênis Refletivo 12 Molas Masculino & Feminino Amortecimento ,,,101,90,4.5,(91),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:08.785577-03:00,2,48
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,,,209,90,4.7,(17),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,1
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,,,144,90,4.5,(432),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,2
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,,,134,90,4.6,(66),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,3
,Kit 2 Pares Tênis Masculino Academia Lançamento  Fxb 515,,,159,90,4.4,(293),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,4
OLP,Tênis Masculino Feminino Varias Cores Do 34 Ao 43 Promoção,,,89,99,4.2,(58),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,5
,Tênis Bolha Plus 1 Tn Corrida Muito Leve Promoção Envio Ja,,,118,86,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,6
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,,,144,90,4.5,(432),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,7
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,,,134,90,4.6,(66),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,8
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,,,209,90,4.7,(17),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,9
PLAZA,Kit 4 Pares Tênis Masculino Casual Academia Caminhada Atacad,,,289,90,4.3,(442),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,10
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,,,56,90,4.7,(343),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,11
,Tenis Para Caminhada Academia Corrida Treino - Leve E Macio,,,67,90,4.5,(435),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,12
FILA,Fila Running Progress Masculino Adultos,366,59,329,93,4.7,(207),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,13
POLO JOY,Polo Joy 900 Masculino Adultos,,,78,99,4.8,(53),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,14
OLYMPIKUS,Tênis Olympikus Voa 2 Corrida Marinho - Masculino,,,249,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,15
PLAZA,Kit 2 Pares De Tênis Masculino Academia Caminhada Casual Neo,,,139,90,4.2,(606),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,16
,Kit Tênis De Corrida Masculino Academia Leve + Relógio,,,99,90,4.4,(317),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,17
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,229,99,170,19,4.7,(3433),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,18
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,78,90,71,01,4.2,(2624),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,19
,Tênis Masculino Macio Confortável Fitness Caminhada Versátil,,,69,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,20
BF SHOES,Tênis Esportivo Masculino Para Malhar Confortável Lançamento,78,90,74,95,4.5,(1987),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,21
TAYGRA,Taygra Original Para Dança Confortável  Preto - Envio 24hs ,,,179,90,4.8,(140),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,22
,Sapatênis Masculino Confort Estilo Moderno,49,90,45,,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,23
UNDER ARMOUR,Under Armour Charged Skyline 4 Masculino Adultos,399,99,259,99,4.7,(14),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:12.852653-03:00,3,24
