marca,produto,preco_velho_reais,preco_velho_centavos,preco_atual_reais,preco_atual_centavos,nota_avaliacao,num_avaliacoes,_fonte,_site,_data_coleta,_pagina,_ordem
,Tênis Refletivo 12 Molas Masculino & Feminino Amortecimento ,,,101,90,4.5,(91),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,1
BF SHOES,Tênis Esportivo Masculino Para Malhar Confortável Lançamento,78,90,74,95,4.5,(1987),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,2
,Sapatênis Masculino Confort Estilo Moderno,49,90,45,,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,3
FILA,Tênis Fila Virtuous Unissex Esporte Caminhada Original,289,99,261,,5.0,(1),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,4
JOHNCAT,Tenis Masculino Yezee Leve Corrida Lançamento Super Promoção,78,90,59,17,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,5
OLYMPIKUS,Olympikus Casual Mood Masculino Adultos,,,199,,4.8,(3425),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,6
OLYMPIKUS,Olympikus Taurus Masculino Adultos,279,99,155,88,4.9,(140),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,7
FILA,Tênis Fila Racer Gripper Masculino Corrida - Caminhada,288,78,239,79,4.9,(10),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,8
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,,,78,90,4.6,(955),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,9
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,,,209,90,4.7,(17),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-13 08:35:04.644071-03:00,1,10
