marca,produto,preco_velho_reais,preco_velho_centavos,preco_atual_reais,preco_atual_centavos,nota_avaliacao,num_avaliacoes,_fonte,_site,_data_coleta,_pagina,_ordem
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,,,78,90,4.6,(927),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,11
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,151,21,4.6,(2129),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,12
MIZUNO,Mizuno Space 3 Masculino Adultos,329,90,244,12,4.7,(1670),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,13
,Tênis Bolha Plus 1 Tn Corrida Muito Leve Promoção Envio Ja,,,118,86,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,14
,Tênis Meia Masculino E Feminino Unicc Lançamento,,,81,90,4.7,(103),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,15
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,,,78,99,4.2,(129),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,16
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,,,209,90,4.7,(17),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,17
OLYMPIKUS,Tênis Olympikus Marte Preto Masculino Treino Corrida,,,209,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,18
TAYGRA,Taygra Original Para Dança Confortável  Preto - Envio 24hs ,,,179,90,4.8,(140),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,19
MIZUNO,Mizuno Wave Dynasty 5 Masculino Adultos,479,80,297,47,4.7,(970),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,20
OLYMPIKUS,Tênis Masculino Taurus Olympikus *oferta*,279,99,180,99,4.8,(1614),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,21
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,,,144,90,4.5,(432),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,22
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,,,56,90,4.7,(341),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,23
NEW BALANCE,New Balance 500 V2 Masculino Adultos,,,379,99,4.5,(53),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,24
,Sapatênis Masculino Confort Estilo Moderno,49,90,45,,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,25
ASCENSION,Tênis Masculino Para Academia Caminhada Corrida Cross ,,,109,,4.6,(7),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,26
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,229,99,170,19,4.7,(3428),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,27
PLAZA,Kit 2 Pares De Tênis Masculino Academia Caminhada Casual Neo,,,139,90,4.2,(606),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,28
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,78,90,71,01,4.2,(2617),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,29
BF SHOES,Tênis Esportivo Masculino Para Malhar Confortável Lançamento,78,90,74,95,4.5,(1983),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,30
BF SHOES,Tênis Branco Lançamento Original Confortável,92,63,68,55,4.6,(7730),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,31
POLO JOY,Tenis Confortável Academia Esporte Polo Joy,,,109,90,4.5,(99),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,32
OLYMPIKUS,Tenis Masculino Olympikus Delta 122 Esportivo,,,150,,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,33
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,,,134,90,4.6,(66),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,34
ON RUNNING,Tênis On Running The Roger Pro Masculino,,,1.249,,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,35
POLO JOY,Polo Joy 900 Masculino Adultos,,,78,99,4.8,(53),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,36
,Tenis Academia Masculino Corrida Caminhada West Boot Wave 20,,,92,77,4.4,(15),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,37
FILA,Fila Float Maxxi 2 Pro Masculino Adultos,899,90,854,90,5.0,(8),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,38
POLO JOY,Combo 2 Pares Tenis Masculino Polo Joy Casual Slip On Iate,,,169,90,4.6,(395),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,39
,Tênis Esportivo Unissex Estilo Conforto Tamanho Especial,,,149,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,40
OLYMPIKUS,Tênis Olympikus Diffuse 4 Preto E Dourado,,,200,85,4.7,(76),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,41
OLYMPIKUS,Tenis Olympikus Only 2 Unissex ,,,149,99,4.8,(20),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,42
,Tênis Masculino Corrida Caminhada Academia Macio Barato Top,51,90,49,30,4.4,(3967),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,43
WM,Tenis Revelation Masculino Feminino Promoção Pronta Entrega,,,109,99,4.5,(150),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,44
OLYMPIKUS,Olympikus Eros Masculino Adultos,,,169,90,4.8,(1666),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,45
SKECHERS,Skechers Ultra Flex 2.0 Mirkon Masculino Adultos,,,379,90,4.8,(8),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,46
ASICS,Asics Shinobi Masculino Adultos,388,90,350,01,4.8,(40),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,47
ADAPTION,Kit 2 Pares De Tenis Masculino Academia Limited + Relogio,,,131,42,4.4,(4222),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,48
,Tênis Chuky Linha Eco Nylon Espumado Ranclafe,,,159,90,4.9,(18),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,49
OLYMPIKUS,Olympikus Poseidon Masculino Adultos,,,166,20,4.7,(722),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,50
SALOMON,Tênis Masculino Salomon Alphacross 5 Cinza Trail Running,,,789,89,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,51
DM DAMANDO,Tenis Masculino Esportivo Academia Confortavel Crossfit Leve,,,82,90,5.0,(5),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,52
,Tênis Refletivo 12 Molas Masculino & Feminino Amortecimento ,,,101,90,4.5,(90),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,53
,Tênis Masculino Caminhada Academia Esportivo Origina Fxb 515,69,90,66,40,4.5,(279),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,54
,Tênis Refletivo 12 Molas Masculino & Feminino Amortecimento ,,,101,90,4.5,(90),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,1
ADAPTION,Kit 2 Pares De Tenis Masculino Academia Limited + Relogio,,,131,42,4.4,(4222),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,2
WM,Tenis Revelation Masculino Feminino Promoção Pronta Entrega,,,109,99,4.5,(150),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,3
,Tênis Masculino Caminhada Academia Esportivo Origina Fxb 515,69,90,66,40,4.5,(279),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,4
SCHIARELI,Tênis Confortavel Esportivo Leve Macio Varias Cores,,,139,90,4.6,(74),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,5
LORENZZO LOPEZ,Tenis Masculino Caminha E Academia Super Leve Na Promoção,,,39,90,4.3,(40),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,6
MIZUNO,Mizuno Wave Falcon 5 Masculino Adultos,429,90,299,88,4.9,(41),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,7
,Tênis Meia Masculino E Feminino Sem Cadarço Confortável,,,81,90,4.8,(119),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,8
DM DAMANDO,Tênis Masculino Conforto Passeio/esporte + Relógio,,,77,90,4.3,(121),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,9
OLYMPIKUS,Tênis Olympikus Diffuse 4 Preto E Dourado,,,200,85,4.7,(76),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,10
OLYMPIKUS,Tenis Olympikus Only 2 Unissex ,,,149,99,4.8,(20),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,11
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,,,134,90,4.6,(66),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,12
DIX, Tênis Maculino Academia Promoção R-4200 - Kit 2 Pares,,,139,90,4.2,(639),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,13
OLYMPIKUS,Tenis Masculino Olympikus Cyber 4 Lançamento,,,259,90,4.9,(28),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,14
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,151,21,4.6,(2129),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,15
,Kit 3 Pares Tênis Lançamento Mega Leve Olymp Masculino Macio,,,204,90,4.6,(122),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,16
ON RUNNING,Tênis On Running Cloudgo Shale,,,699,90,5.0,(2),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,17
MVP FITNESS,Tênis Mvp Para Crossfit - 3x3 All Black,379,,360,05,4.8,(138),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,18
,Tenis Box 200 Bx2325 Masculino Lançamento Liquidação,,,49,,5.0,(2),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,19
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,,,78,90,4.6,(927),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,20
,Sapatilha Neoprene Unissex Secagem Rapida Confortavel Top ,,,53,,4.6,(199),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,21
EVER WAY,Tênis Meia Masculino Tricô Elástico Confortável Casual,,,159,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,22
,Tênis Chuky Linha Eco Nylon Espumado Ranclafe Preto/branco,,,159,90,5.0,(5),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,23
OLYMP,Tênis Kit 2 Pares  Olymp Lançamento Zoo Meg Top Homem Sport#,,,143,,4.3,(452),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,24
,Tênis Esportivo Masculino Leve Confortável Academia Corrida,,,79,90,4.8,(6),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,25
OLYMPIKUS,Tênis Olympikus Neblina Masculino,,,279,90,4.6,(53),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,26
ADEX,Tênis Futsal Capoeira Corrida Vôlei Casual Solado Borracha,78,99,75,04,4.5,(62),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,27
KAPPA,Tênis Kappa Impact Masculino Open Box,,,99,90,4.8,(21),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,28
UNDER ARMOUR,Tênis Under Armour Spawn 3 Preto,,,349,90,4.7,(300),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,29
OLDSEN,Tênis Lançamento Original Confortável Corrida Esportivo,,,63,90,5.0,(9),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,30
ADAPTION,Adaption Easy Masculino Adultos,,,41,,4.4,(1092),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,31
FILA,Fila KR6 Masculino Adultos,,,317,,4.7,(346),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,32
,Kit Tênis De Corrida Masculino Academia Leve + Relógio,,,99,90,4.4,(317),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,33
OLYMPIKUS,Tênis Olympikus Metro,,,209,90,5.0,(6),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,34
OLYMPIKUS,Olympikus Marez Masculino Adultos,349,99,239,90,4.9,(144),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,35
OLYMPIKUS,Olympikus Corre Trilha Sem gênero Adultos,599,90,443,92,5.0,(9),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,36
,Tênis Academia Caminhada Corrida Confortável Leve Pra Malhar,99,90,62,93,4.5,(249),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,37
,3 Pares Tênis Esportivo Tenis Masculino Leve E Macio Frete,,,169,90,4.3,(102),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,38
WEST,Kit 2 Tenis Masculino Cores Promoção Confortavel Treino Wave,,,164,77,4.2,(39),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,39
MIZUNO,Mizuno Victory RSP Masculino Adultos,452,90,335,15,5.0,(13),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,40
,Tênis Masculino Esportivo Caminhada Academia Corrida,78,90,69,90,4.5,(538),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,41
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,90,179,45,4.4,(1826),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,42
EVOLTENN,Tênis Boost Masculino Evoltenn Esporte Casual Colmeia Treino,,,69,90,4.8,(4),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,43
MARATHON,Tênis Masculino Marathon Max Ok Esportivo Anti Impacto Leve,,,129,90,4.3,(4),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,44
NEW BALANCE,Tênis Calçados New Balance 997s - Importado Envio Imediato!!,,,199,99,3.8,(24),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,45
ON RUNNING,Tênis On Running Cloudmonster 2 Masculino Bege Lançamento,,,1.149,,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,46
PERFLEX,Tênis Esportivo Academia Caminhada Corrida,,,59,90,4.5,(18),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,47
MIZUNO,Mizuno Wave Falcon 4 Masculino Adultos,381,66,240,44,4.8,(186),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,48
,Tênis Masculino Academia Caminhada Fxb Lançamento Corrida,,,69,90,4.4,(559),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,49
,Tenis Skechers Go Run Elevate 220184-blk Preto,,,312,39,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,50
OLYMPIKUS,Tênis Olympikus Vertical Masculino,,,265,90,4.4,(5),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,51
,Tênis Masculino Treino Academia Corrida Caminhada Conforto,,,78,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,52
POLO BLU,Tênis Masculino Botinha Polo Blu Kit Carteira E Relogio !,,,99,90,4.4,(73),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,53
DM DAMANDO,Kit 2 Pares Tênis De Academia Treino Original Lançamento Dm,,,149,90,4.5,(4),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:31.429090-03:00,4,54
BF SHOES,Tênis Branco Lançamento Original Confortável,92,63,68,55,4.6,(7730),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,1
BF SHOES,Tênis Esportivo Masculino Para Malhar Confortável Lançamento,78,90,74,95,4.5,(1983),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,2
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,,,144,90,4.5,(432),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,3
,Tenis Olympikus Dynamic Masculino Esportivo  Original,,,259,99,4.8,(112),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,4
,Tênis Polo Energy Masculino,,,78,97,4.5,(31),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,5
BAD FISH,Tênis Adventure Caminhada Academia Trail Trekking Air Mesh,,,199,49,4.7,(169),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,6
,Kit Tênis Esportivo It Shoes Masculino + Relógio Digital,554,90,111,,4.4,(455),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,7
,Tênis Olympikus Index Esportivo Masculino Academia Original,,,189,99,4.9,(46),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,8
LETS,Tenis Para Corrida Masculino Casual Esportivo Academia Lets,,,129,90,4.3,(55),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,9
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,,,56,90,4.7,(341),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,10
,Sapatênis Masculino Confort Estilo Moderno,49,90,45,,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,11
,Tênis Meia Masculino E Feminino Unicc Lançamento,,,81,90,4.7,(103),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,12
OLYMPIKUS,Tênis Masculino Subverse Olympikus,349,99,254,99,4.8,(58),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,13
GALAXY,Tênis Masculino Caminhada Academia Leve Promoção Kit 3 Pares,,,176,90,4.4,(154),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,14
,Tênis Masculino Prospect Ultra Leve Macio Esportivo Academia,,,78,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,15
NEW BALANCE,New Balance Fresh Foam Arishi V4 Masculino Adultos,,,499,99,4.6,(5),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,16
,Tênis Masculino Bolha Plus 1 Tn Corrida Muito Leve Envio Ja,,,108,26,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,17
OLYMPIKUS,Tênis Olympikus Voa 2 Preto,,,274,85,4.8,(12),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,18
,Tenis Hibrido Sapatilha Aquatica Neoprene Confortável Top,,,54,,4.7,(50),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,19
,Tênis Meia Masculino E Feminino Sem Cadarço Confortável,,,62,90,4.7,(222),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,20
ADIDAS,adidas Lite Racer 3.0 Masculino Adultos,,,299,90,4.7,(541),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,21
,Kit Combo 2 Tenis Masculino P/ Treino Academia Confortável,,,166,80,4.4,(29),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,22
RABUTSS,Tênis Jogger Masculino Casual Esportivo Academia Dia A Dia,,,89,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,23
OLYMPIKUS,Tênis Olympikus Dynamic Masculino Original Com Nota Fiscal,,,259,78,4.9,(183),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,24
OLYMPIKUS,Olympikus Ultraleve Masculino Adultos,249,90,179,55,4.6,(1380),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,25
EVOLTENN,Tênis Boost Masculino Evoltenn Esporte Casual Colmeia Treino,,,89,90,4.2,(9),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,26
OLYMPIKUS,Olympikus Caminhada Cygnus Masculino Adultos,,,189,90,4.8,(965),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,27
,Kit 3 Pares Tênis De Caminhada Tenis Masculino Super Leve,,,169,90,4.1,(110),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,28
,Kit Bermuda Masculina Moletom + Tenis Esporte Com Brinde,,,109,90,4.3,(35),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,29
TAYGRA,"Sapatênis  Iate : Robusto & Flexível,ventilado & Confortável",,,179,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:36.283908-03:00,5,30
